Prosus,$134.01 B,$30.67 ,Netherlands
PRX.AS,,,
,,,
Lowe's Companies,$133.74 B,$232.56 ,USA
LOW,,,
,,,
ConocoPhillips,$131.18 B,$111.51 ,USA
COP,,,
,,,
Honeywell,$130.84 B,$200.63 ,USA
HON,,,
,,,
Goldman Sachs,$127.52 B,$391.05 ,USA
GS,,,
,,,
Schneider Electric,$126.80 B,$227.12 ,France
SU.PA,,,
,,,
United Parcel Service,$126.72 B,$148.63 ,USA
UPS,,,
,,,
Unilever,$126.67 B,$50.66 ,UK
UL,,,
,,,
Airbus,$126.12 B,$160.18 ,Netherlands
AIR.PA,,,
,,,
Commonwealth Bank,$126.09 B,$75.36 ,Australia
CBA.AX,,,
,,,
Anheuser-Busch Inbev,$125.74 B,$63.37 ,Belgium
BUD,,,
,,,
Prologis,$123.20 B,$133.21 ,USA
PLD,,,
,,,
Boeing,$122.53 B,$200.83 ,USA
BA,,,
,,,
Booking Holdings (Booking.com),$122.32 B,"$3,506 ",USA
BKNG,,,
,,,
Sanofi,$121.78 B,$48.77 ,France
SNY,,,
,,,
Lam Research,$121.72 B,$928.50 ,USA
LRCX,,,
,,,
BlackRock,$120.81 B,$813.59 ,USA
BLK,,,
,,,
AT&T,$120.12 B,$16.80 ,USA
T,,,
,,,
Elevance Health,$119.61 B,$514.09 ,USA
ELV,,,
,,,
Raytheon Technologies,$119.42 B,$90.01 ,USA
RTX,,,
,,,
Deutsche Telekom,$119.13 B,$23.96 ,Germany
DTE.DE,,,
,,,
Mitsubishi UFJ Financial,$118.63 B,$10.01 ,Japan
MUFG,,,
,,,
Charles Schwab,$117.44 B,$64.44 ,USA
SCHW,,,
,,,
Nextera Energy,$116.53 B,$56.78 ,USA
NEE,,,
,,,
Medtronic,$113.91 B,$85.67 ,Ireland
MDT,,,
,,,
Eaton,$113.77 B,$284.93 ,Ireland
ETN,,,
,,,
TJX Companies,$113.26 B,$99.38 ,USA
TJX,,,
,,,
CM Bank,$113.16 B,$4.06 ,China
