Name,Followers
cristiano,462.9M
leomessi,347.2M
kendalljenner,247.6M
arianagrande,321.4M
zendaya,147M
kimkardashian,323.6M
taylorswift,218.2M
kyliejenner,357M
selenagomez,334.9M
thv,46.3M
lalalalisa_m,79.9M
jennierubyjane,68.2M
virat.kohli,206.9M
tomholland2013,67.6M
j.m,38.1M
agustd,36.5M
jin,37.4M
beyonce,267.4M
khloekardashian,260.4M
sooyaaa__,62.1M
billieeilish,104.3M
neymarjr,176.2M
khaby00,78.6M
justinbieber,245.9M
roses_are_rosie,61M
uarmyhope,37.4M
badbunnypr,41.4M
nickiminaj,197.8M
instagram,528.4M
jungkook.97,43M
bts.bighitofficial,66M
iamcardib,137.3M
kourtneykardash,189M
karolg,54.5M
zayn,46.2M
rkive,36M
milliebobbybrown,53.2M
gigihadid,74.9M
jlo,217.5M
kingjames,127.4M
therock,327.3M
adele,50.6M
georginagio,39M
champagnepapi,116.6M
katrinakaif,65.6M
harrystyles,46.3M
mileycyrus,178.2M
eunwo.o_c,29.2M
travisscott,45.8M
ester_exposito,29.4M
robertdowneyjr,53.2M
dlwlrma,27M
actorleeminho,30.1M
narendramodi,68.2M
shawnmendes,69.4M
k.mbappe,72.4M
johnnydepp,26.6M
aliaabhatt,67.2M
oliviarodrigo,27.1M
anushkasharma,59.3M
dualipa,85.1M
dovecameron,48.1M
camila_cabello,64.4M
noahschnapp,24.7M
danbilzerian,32.9M
charlidamelio,48.9M
dojacat,24.2M
chrishemsworth,55.1M
kimberly.loaiza,35.2M
lelepons,49M
iamzlatanibrahimovic,54.6M
mosalah,51.9M
bn_sj2013,22.2M
jongsuk0206,23M
handemiyy,28.5M
niallhoran,30.2M
paulodybala,47.7M
gal_gadot,83.8M
oohsehun,23.3M
realmadrid,121.8M
sadiesink_,21.6M
lilireinhart,29M
chrisbrownofficial,115.1M
fcbarcelona,110M
iamsrk,30M
ddlovato,136.3M
rashmika_mandanna,32.3M
dishapatani,52.1M
songkang_b,14.4M
bellahadid,53.2M
jacksonwang852g7,28.9M
deepikapadukone,67.8M
dannapaola,34.5M
blackpinkofficial,47.7M
haileybieber,45.9M
karimbenzema,55.9M
zacefron,53.9M
antonelaroccuzzo,20M
realstraykids,21.9M
nasa,78.6M
nasa,78.6M
yawnzzn,9.6M
chrisevans,17M
twicetagram,26.1M
priyankachopra,80.2M
ursulolita,24.1M
jenniferaniston,40.7M
hi_high_hiy,14.3M
addisonraee,40.4M
nike,227.6M
finnwolfhardofficial,24.6M
samantharuthprabhuoffl,24.2M
madelame,25.4M
miakhalifa,27.8M
jannatzubair29,43.3M
katyperry,167.2M
meganfox,20.4M
vindiesel,81.7M
kapilsharma,42M
camimendes,27.1M
akshaykumar,62.6M
tyga,35.4M
_jeongjaehyun,12.1M
ladygaga,53.1M
kritisanon,49.7M
hoooooyeony,23.4M
mrbeast,19M
rosalia.vt,20.9M
shakira,75.6M
pewdiepie,21.9M
hrithikroshan,43.5M
madelyncline,12.6M
hazardeden_10,27M
shraddhakapoor,73.4M
vinijr,21.3M
emrata,29.5M
lanarhoades,16.8M
britneyspears,41.6M
maluma,62.7M
beingsalmankhan,53M
luisitocomunica,32.3M
natgeo,232.2M
madisonbeer,31.8M
jacquelinef143,62.2M
garethbale11,47.8M
norafatehi,41.2M
sabrinacarpenter,27.4M
marcelotwelve,57.2M
rohittt_09_,23.6M
jasonstatham,30.7M
thedeverakonda,16M
theestallion,29.1M
theweeknd,40.3M
shahidkapoor,35.3M
elrubiuswtf,17M
annehathaway,24.4M
sydney_sweeney,13.6M
erling.haaland,17.1M
lewishamilton,29M
hegdepooja,20.7M
luissuarez9,44.1M
championsleague,95.7M
