Username,Suscribers
tseries,"249,500,000"
MrBeast,"183,500,000"
CoComelon,"165,500,000"
SETIndia,"162,600,000"
KidsDianaShow,"113,500,000"
PewDiePie,"111,500,000"
LikeNastyaofficial,"107,500,000"
VladandNiki,"101,400,000"
zeemusiccompany,"99,700,000"
WWE,"97,200,000"
BLACKPINK,"91,300,000"
GoldminesTelefilms,"89,700,000"
SonySAB,"85,400,000"
5MinuteCraftsYouTube,"80,300,000"
BTS,"76,500,000"
HYBELABELS,"72,700,000"
zeetv,"72,500,000"
Pinkfong,"69,600,000"
ChuChuTV,"67,500,000"
KondZilla,"66,600,000"
colorstv,"66,600,000"
filmigaane,"66,400,000"
TSeriesBhaktiSagar,"62,600,000"
tipsofficial,"60,900,000"
MOVIECLIPS,"59,900,000"
ElReinoInfantil,"59,700,000"
dudeperfect,"59,700,000"
aajtak,"58,900,000"
WaveMusicIndia,"58,700,000"
SonyMusicIndia,"57,900,000"
marshmello,"56,700,000"
yrf,"55,700,000"
infobellshindirhymes,"55,700,000"
LooLooKids,"54,800,000"
TaylorSwift,"54,100,000"
EdSheeran,"53,700,000"
BillionSurpriseToys,"53,100,000"
ArianaGrande,"52,900,000"
shemaroo,"48,800,000"
JuegaGerman,"48,600,000"
BillieEilish,"48,600,000"
getmovies,"48,100,000"
sonymusicindiaVEVO,"47,500,000"
A4a4a4a4,"47,300,000"
badabunOficial,"47,000,000"
Fernanfloo,"46,500,000"
BadBunnyPR,"46,500,000"
HarPalGeoOfficial,"46,400,000"
vootkids,"46,000,000"
ARYDigitalasia,"45,900,000"
felipeneto,"45,600,000"
abscbnentertainment,"45,000,000"
vcsabiavideos,"45,000,000"
BRIGHTSIDEOFFICIAL,"44,600,000"
KatyPerry,"44,400,000"
Shakira,"44,400,000"
whindersson,"44,400,000"
MashaBearRUSSIAN,"44,200,000"
Alanwalkermusic,"44,000,000"
MashaBearEN,"43,700,000"
HolaSoyGerman,"43,600,000"
Mikecrack,"43,400,000"
toysandcolors,"42,900,000"
speedrecords,"42,900,000"
LikeNastya_Show,"42,500,000"
KimberlyLoaiza,"42,100,000"
IshtarMusic,"42,100,000"
luisitocomunica,"41,100,000"
LittleBabyBum,"41,000,000"
shfa2,"40,600,000"
CarryMinati,"40,300,000"
luccastoon,"40,100,000"
SuperSimpleSongs,"39,900,000"
JessNoLimit,"39,600,000"
xxxtentacion,"39,500,000"
SonyPAL,"39,500,000"
WorkpointOfficial,"39,400,000"
gr6explode,"39,300,000"
TEDx,"39,100,000"
GaaneSuneAnsune,"39,100,000"
shfa-1,"39,100,000"
vladvaniki1,"38,700,000"
TheEllenShow,"38,300,000"
DaddyYankee,"38,300,000"
