519,samsmith,YouTube,16.5,USA
777,Wengie,YouTube,13.6,CHN
1,tseries,YouTube,249.5,CHN
2,MrBeast,YouTube,183.5,IND
3,CoComelon,YouTube,165.5,CHN
4,SETIndia,YouTube,162.6,IND
5,KidsDianaShow,YouTube,113.5,IND
6,PewDiePie,YouTube,111.5,PHL
7,LikeNastyaofficial,YouTube,107.5,NGA
8,VladandNiki,YouTube,101.4,PAK
9,zeemusiccompany,YouTube,99.7,IND
10,WWE,YouTube,97.2,USA
11,BLACKPINK,YouTube,91.3,BRA
12,GoldminesTelefilms,YouTube,89.7,CHN
13,SonySAB,YouTube,85.4,IND
14,5MinuteCraftsYouTube,YouTube,80.3,VNM
15,BTS,YouTube,76.5,IND
16,HYBELABELS,YouTube,72.7,CHN
17,zeetv,YouTube,72.5,PHL
18,Pinkfong,YouTube,69.6,TUR
19,ChuChuTV,YouTube,67.5,IND
20,KondZilla,YouTube,66.6,CHN
21,colorstv,YouTube,66.6,EGY
22,filmigaane,YouTube,66.4,THA
23,TSeriesBhaktiSagar,YouTube,62.6,RUS
24,tipsofficial,YouTube,60.9,CHN
25,MOVIECLIPS,YouTube,59.9,IND
26,ElReinoInfantil,YouTube,59.7,CHN
27,dudeperfect,YouTube,59.7,CHN
28,aajtak,YouTube,58.9,USA
29,WaveMusicIndia,YouTube,58.7,IND
30,SonyMusicIndia,YouTube,57.9,IND
31,marshmello,YouTube,56.7,CHN
32,yrf,YouTube,55.7,VNM
33,infobellshindirhymes,YouTube,55.7,MEX
34,LooLooKids,YouTube,54.8,USA
35,TaylorSwift,YouTube,54.1,IND
36,EdSheeran,YouTube,53.7,IND
37,BillionSurpriseToys,YouTube,53.1,JPN
38,ArianaGrande,YouTube,52.9,CHN
39,shemaroo,YouTube,48.8,PAK
40,JuegaGerman,YouTube,48.6,NGA
41,BillieEilish,YouTube,48.6,PAK
42,getmovies,YouTube,48.1,CHN
43,sonymusicindiaVEVO,YouTube,47.5,IND
44,A4a4a4a4,YouTube,47.3,KOR
45,badabunOficial,YouTube,47,IND
